City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather
133,Maba,CN,2022-01-27 01:20:17,24.6841,113.5984,66.61,79,87,3.27,overcast clouds
134,Rocha,UY,2022-01-27 01:20:18,-34.4833,-54.3333,68.2,89,100,18.3,overcast clouds
135,Mindelo,CV,2022-01-27 01:20:18,16.8901,-24.9804,71.15,68,75,28.77,broken clouds
136,San Juan,AR,2022-01-27 01:15:58,-31.5375,-68.5364,80.15,50,89,20.22,overcast clouds
137,Severodvinsk,RU,2022-01-27 01:20:20,64.5635,39.8302,10.51,97,96,6.26,overcast clouds
138,Bedele,ET,2022-01-27 01:20:21,8.456,36.353,55.78,61,12,2.57,few clouds
139,Neuquen,AR,2022-01-27 01:18:24,-38.9516,-68.0591,75.09,35,0,17.27,clear sky
140,Beliator,IN,2022-01-27 01:20:22,23.3333,87.2167,57.58,62,5,7.87,clear sky
141,Djougou,BJ,2022-01-27 01:20:23,9.7085,1.666,70.97,19,0,5.86,clear sky
142,Cherskiy,RU,2022-01-27 01:20:12,68.75,161.3,-43.1,98,46,3.51,scattered clouds
143,Lata,PT,2022-01-27 01:20:25,40.1629,-8.3327,48.72,79,47,4.99,scattered clouds
144,Boa Viagem,BR,2022-01-27 01:18:08,-5.1275,-39.7322,73.9,79,100,3.62,overcast clouds
145,Vila Velha,BR,2022-01-27 01:19:49,-20.3297,-40.2925,75.94,83,0,5.99,clear sky
146,Yar-Sale,RU,2022-01-27 01:20:27,66.8333,70.8333,6.42,94,100,9.55,overcast clouds
147,Puerto Ayora,EC,2022-01-27 01:20:27,-0.7393,-90.3518,73.63,89,100,7.14,overcast clouds
148,Coquimbo,CL,2022-01-27 01:16:20,-29.9533,-71.3436,62.33,77,0,5.75,clear sky
149,Tra Vinh,VN,2022-01-27 01:20:29,9.9347,106.3453,79.29,76,96,5.28,overcast clouds
150,Nyurba,RU,2022-01-27 01:20:29,63.2842,118.3319,-11.67,99,97,5.03,overcast clouds
151,Baracoa,CU,2022-01-27 01:20:30,20.3467,-74.4958,74.3,86,26,5.21,scattered clouds
152,Roebourne,AU,2022-01-27 01:20:31,-20.7833,117.1333,87.57,44,0,14.61,clear sky
153,Anadyr,RU,2022-01-27 01:20:32,64.75,177.4833,5.5,85,75,17.9,light snow
154,Hamilton,US,2022-01-27 01:16:29,39.1834,-84.5333,20.03,64,0,0.0,clear sky
155,Usisha,RU,2022-01-27 01:20:34,42.2511,47.3928,18.3,93,92,0.78,overcast clouds
156,Vyshkov,RU,2022-01-27 01:20:35,52.4764,31.6873,19.29,97,100,3.42,overcast clouds
157,Emba,KZ,2022-01-27 01:20:35,48.8264,58.1442,16.93,94,100,4.03,overcast clouds
158,Peleduy,RU,2022-01-27 01:20:37,59.6289,112.7406,-13.65,100,98,2.77,overcast clouds
159,Chaumont,FR,2022-01-27 01:17:49,48.1167,5.1333,28.69,96,100,4.5,overcast clouds
160,Vao,NC,2022-01-27 01:20:38,-22.6667,167.4833,78.22,83,100,16.37,overcast clouds
161,Westport,US,2022-01-27 01:20:39,41.1415,-73.3579,24.55,48,0,1.01,clear sky
162,Yerbogachen,RU,2022-01-27 01:20:40,61.2767,108.0108,-18.9,100,100,3.8,overcast clouds
163,Gryazi,RU,2022-01-27 01:20:41,52.4966,39.9359,-4.77,100,100,3.74,overcast clouds
164,Saskylakh,RU,2022-01-27 01:20:42,71.9167,114.0833,-10.35,92,46,4.27,scattered clouds
165,Clyde River,CA,2022-01-27 01:20:43,70.4692,-68.5914,-7.37,77,100,21.85,light snow
166,Raca,RS,2022-01-27 01:20:44,44.2271,20.9775,34.54,94,100,8.39,overcast clouds
167,Bonthe,SL,2022-01-27 01:20:45,7.5264,-12.505,78.12,82,14,5.93,few clouds
168,Tombouctou,ML,2022-01-27 01:20:46,20.0,-3.0,66.36,15,100,10.42,overcast clouds
169,Broken Hill,AU,2022-01-27 01:20:46,-31.95,141.4333,94.01,30,3,8.99,clear sky
170,Pilot Butte,CA,2022-01-27 01:20:47,50.4668,-104.4178,31.66,79,100,20.71,overcast clouds
171,Raduzhnyy,RU,2022-01-27 01:20:48,62.0961,77.475,-4.2,99,97,7.58,overcast clouds
172,Dikson,RU,2022-01-27 01:20:49,73.5069,80.5464,12.7,93,100,27.76,light snow
173,Belaya Gora,RU,2022-01-27 01:20:49,68.5333,146.4167,-35.68,100,15,6.89,few clouds
174,Port Hueneme,US,2022-01-27 01:21:51,34.1478,-119.1951,67.33,61,0,6.91,clear sky
175,Krasnoarmeysk,RU,2022-01-27 01:21:51,51.0239,45.6969,12.2,97,100,4.05,overcast clouds
176,Moindou,NC,2022-01-27 01:21:52,-21.6924,165.677,85.95,66,91,10.54,overcast clouds
177,Geraldton,AU,2022-01-27 01:21:53,-28.7667,114.6,82.81,42,0,13.8,clear sky
178,Cuamba,MZ,2022-01-27 01:21:54,-14.8031,36.5372,69.15,99,100,4.52,overcast clouds
179,Padang,ID,2022-01-27 01:21:54,-0.9492,100.3543,78.85,77,100,3.02,overcast clouds
180,Sola,VU,2022-01-27 01:21:56,-13.8833,167.55,86.67,74,75,5.75,broken clouds
181,Cayenne,GF,2022-01-27 01:18:53,4.9333,-52.3333,75.24,94,75,0.0,broken clouds
182,Castro,BR,2022-01-27 01:20:46,-24.7911,-50.0119,67.96,89,100,1.83,overcast clouds
183,Tela,HN,2022-01-27 01:21:58,15.7833,-87.45,77.22,91,0,2.98,clear sky
184,Fairbanks,US,2022-01-27 01:20:02,64.8378,-147.7164,-2.2,78,100,0.0,overcast clouds
185,Belgrade,RS,2022-01-27 01:20:15,44.804,20.4651,33.46,84,75,1.01,broken clouds
186,Talnakh,RU,2022-01-27 01:21:59,69.4865,88.3972,2.21,96,100,15.26,light snow
187,Sena Madureira,BR,2022-01-27 01:22:00,-9.0656,-68.6569,73.58,94,98,3.06,overcast clouds
188,Ilulissat,GL,2022-01-27 01:22:01,69.2167,-51.1,12.22,67,100,21.85,overcast clouds
189,Wattegama,LK,2022-01-27 01:22:02,6.7989,81.4808,65.88,92,47,3.09,scattered clouds
190,San Jose,US,2022-01-27 01:17:20,37.3394,-121.895,62.76,60,0,4.61,clear sky
191,Teguldet,RU,2022-01-27 01:22:03,57.3064,88.1667,-0.24,99,98,2.19,overcast clouds
192,Khatanga,RU,2022-01-27 01:22:04,71.9667,102.5,1.2,88,100,13.62,overcast clouds
193,Abonnema,NG,2022-01-27 01:22:05,4.7084,6.7931,76.98,81,60,3.71,broken clouds
194,Bull Savanna,JM,2022-01-27 01:22:06,17.8868,-77.5902,74.1,82,74,4.07,broken clouds
195,Severo-Kurilsk,RU,2022-01-27 01:22:06,50.6789,156.125,26.47,70,88,27.18,overcast clouds
196,Krutikha,RU,2022-01-27 01:22:07,53.9599,81.2093,-13.18,100,96,3.11,overcast clouds
197,Marsa Matruh,EG,2022-01-27 01:22:08,31.3525,27.2453,44.8,81,40,11.5,scattered clouds
198,Fukue,JP,2022-01-27 01:22:09,32.6881,128.8419,52.16,62,75,4.61,broken clouds
199,Klaksvik,FO,2022-01-27 01:22:09,62.2266,-6.589,36.52,80,100,31.52,overcast clouds
200,Belmonte,BR,2022-01-27 01:22:10,-15.8631,-38.8828,73.9,87,100,6.89,light rain
201,Half Moon Bay,US,2022-01-27 01:22:11,37.4636,-122.4286,62.29,68,40,0.0,mist
202,Namibe,AO,2022-01-27 01:22:12,-15.1961,12.1522,76.15,82,100,7.27,light rain
203,Hibbing,US,2022-01-27 01:22:12,47.4272,-92.9377,18.75,73,100,10.36,overcast clouds
204,Ninh Binh,VN,2022-01-27 01:22:13,20.2539,105.975,71.01,90,16,4.09,few clouds
205,Maumere,ID,2022-01-27 01:22:14,-8.6199,122.2111,82.67,78,87,11.01,overcast clouds
206,Athens,GR,2022-01-27 01:19:43,37.9795,23.7162,42.21,63,20,1.01,few clouds
207,Pevek,RU,2022-01-27 01:20:58,69.7008,170.3133,-32.39,98,31,3.44,scattered clouds
208,Ust-Ishim,RU,2022-01-27 01:22:16,57.6935,71.1665,-3.57,99,100,4.27,overcast clouds
209,Provideniya,RU,2022-01-27 01:22:17,64.3833,-173.3,-2.09,71,75,4.47,light snow
210,Port Hedland,AU,2022-01-27 01:22:18,-20.3167,118.5667,87.85,70,100,10.36,overcast clouds
211,Nome,US,2022-01-27 01:22:19,64.5011,-165.4064,-14.73,76,0,0.0,clear sky
212,Port-Gentil,GA,2022-01-27 01:22:19,-0.7193,8.7815,80.13,80,100,13.47,overcast clouds
213,Upernavik,GL,2022-01-27 01:22:20,72.7868,-56.1549,6.62,80,100,19.28,overcast clouds
214,Segou,ML,2022-01-27 01:22:21,13.4317,-6.2157,72.57,11,99,8.01,overcast clouds
215,Shillong,IN,2022-01-27 01:19:21,25.5689,91.8831,40.23,91,74,1.66,broken clouds
216,Shubarshi,KZ,2022-01-27 01:22:22,48.5872,57.1869,19.81,94,100,6.44,overcast clouds
217,Vostok,RU,2022-01-27 01:22:23,46.4856,135.8833,4.1,88,99,3.13,overcast clouds
218,Shingu,JP,2022-01-27 01:22:24,33.7333,135.9833,49.19,56,100,3.33,overcast clouds
219,Vila Do Maio,CV,2022-01-27 01:22:24,15.1333,-23.2167,72.39,77,100,20.29,overcast clouds
220,Nizhniy Baskunchak,RU,2022-01-27 01:22:25,48.2198,46.8311,18.99,96,100,6.58,overcast clouds
221,Bengkulu,ID,2022-01-27 01:23:26,-3.8004,102.2655,78.93,80,100,3.38,overcast clouds
222,Lebu,CL,2022-01-27 01:23:26,-37.6167,-73.65,58.59,89,0,9.24,clear sky
223,Plettenberg Bay,ZA,2022-01-27 01:23:27,-34.0527,23.3716,66.18,96,88,5.57,overcast clouds
224,Libreville,GA,2022-01-27 01:19:59,0.3925,9.4537,78.87,84,100,6.31,overcast clouds
225,Karera,IN,2022-01-27 01:23:29,25.4667,78.15,47.23,74,0,2.57,clear sky
226,Dingle,PH,2022-01-27 01:23:30,10.9995,122.6711,81.59,81,100,9.37,overcast clouds
227,Sao Filipe,CV,2022-01-27 01:23:32,14.8961,-24.4956,74.5,70,100,15.26,overcast clouds
228,Rawson,AR,2022-01-27 01:23:32,-43.3002,-65.1023,60.89,61,0,12.1,clear sky
229,Awbari,LY,2022-01-27 01:23:33,26.5921,12.7805,39.85,43,9,6.76,clear sky
230,Maine-Soroa,NE,2022-01-27 01:21:19,13.2114,12.0241,62.1,31,1,13.73,clear sky
231,Port Shepstone,ZA,2022-01-27 01:23:35,-30.7414,30.455,72.9,84,16,5.23,few clouds
232,Qaqortoq,GL,2022-01-27 01:23:36,60.7167,-46.0333,19.9,67,92,19.48,overcast clouds
233,Alyangula,AU,2022-01-27 01:23:37,-13.8483,136.4192,89.47,62,100,11.5,overcast clouds
234,Sao Felix Do Xingu,BR,2022-01-27 01:20:59,-6.6447,-51.995,72.55,94,100,1.05,overcast clouds
235,Mercedes,AR,2022-01-27 01:23:39,-34.6515,-59.4307,65.86,58,41,17.22,scattered clouds
