City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Leningradskiy,RU,2022-01-24 00:12:07,69.3833,178.4167,-13.58,95,100,5.1
104,Aykhal,RU,2022-01-24 00:12:07,66.0,111.5,5.41,97,87,4.72
105,Baghdad,IQ,2022-01-24 00:07:32,33.3406,44.4009,46.85,35,43,6.73
106,Naze,JP,2022-01-24 00:11:48,28.3667,129.4833,63.84,84,94,12.35
107,Yar-Sale,RU,2022-01-24 00:12:08,66.8333,70.8333,4.33,94,60,12.3
108,Uberlandia,BR,2022-01-24 00:12:08,-18.9186,-48.2772,71.19,80,64,2.86
109,Ponta Do Sol,PT,2022-01-24 00:12:09,32.6667,-17.1,63.72,80,99,5.79
110,La Palma,US,2022-01-24 00:12:10,33.8464,-118.0467,76.17,24,1,8.01
111,San Quintin,MX,2022-01-24 00:12:10,30.4833,-115.95,64.94,38,2,8.9
112,Karpathos,GR,2022-01-24 00:12:10,35.507,27.2132,40.96,65,85,16.11
113,Mataura,NZ,2022-01-24 00:12:11,-46.1927,168.8643,59.49,40,36,1.21
114,Jutai,BR,2022-01-24 00:12:11,-5.1833,-68.9,74.77,97,95,2.06
115,Tual,ID,2022-01-24 00:12:12,-5.6667,132.75,82.83,79,97,12.35
116,Itaiba,BR,2022-01-24 00:12:13,-8.9475,-37.4228,77.25,64,64,8.48
117,Saint George,US,2022-01-24 00:12:14,37.1041,-113.5841,57.67,30,0,4.0
118,Makakilo City,US,2022-01-24 00:12:14,21.3469,-158.0858,80.92,56,40,8.05
119,Codrington,AU,2022-01-24 00:12:15,-38.2667,141.9667,89.4,26,100,7.07
120,New Norfolk,AU,2022-01-24 00:12:15,-42.7826,147.0587,78.66,43,99,1.01
121,Joshimath,IN,2022-01-24 00:12:16,30.5667,79.5667,33.3,87,97,5.26
122,Ilulissat,GL,2022-01-24 00:12:16,69.2167,-51.1,14.02,52,100,16.11
123,Norman Wells,CA,2022-01-24 00:12:17,65.282,-126.8329,5.04,78,90,8.05
124,Mancora,PE,2022-01-24 00:12:17,-4.1078,-81.0475,77.58,67,82,14.36
125,Georgetown,MY,2022-01-24 00:08:08,5.4112,100.3354,78.73,83,20,3.44
126,Atambua,ID,2022-01-24 00:12:18,-9.1061,124.8925,78.73,79,100,3.29
127,Hamilton,US,2022-01-24 00:08:09,39.1834,-84.5333,28.36,70,100,1.01
128,Aksarka,RU,2022-01-24 00:12:19,66.5606,67.7975,0.25,98,64,10.67
129,Namatanai,PG,2022-01-24 00:12:19,-3.6667,152.4333,85.06,67,99,4.72
130,Tasiilaq,GL,2022-01-24 00:12:20,65.6145,-37.6368,15.96,51,66,11.79
131,Ketchikan,US,2022-01-24 00:12:20,55.3422,-131.6461,45.07,93,90,8.05
132,Marawi,PH,2022-01-24 00:12:21,7.9986,124.2928,67.64,95,100,2.84
133,Virginia Beach,US,2022-01-24 00:11:30,36.8529,-75.978,39.02,70,0,8.05
134,Nanortalik,GL,2022-01-24 00:12:22,60.1432,-45.2371,23.85,77,100,7.11
135,Severo-Yeniseyskiy,RU,2022-01-24 00:12:22,60.3725,93.0408,-6.23,100,97,2.98
136,Polovinnoye,RU,2022-01-24 00:13:23,54.7914,65.9864,-12.66,98,42,2.44
137,Ibra,OM,2022-01-24 00:13:23,22.6906,58.5334,56.97,72,0,1.74
138,Dingle,PH,2022-01-24 00:13:24,10.9995,122.6711,78.48,85,80,8.7
139,Lazaro Cardenas,MX,2022-01-24 00:13:24,17.9583,-102.2,80.17,62,58,7.9
140,Atar,MR,2022-01-24 00:13:25,20.5169,-13.0499,72.75,18,99,8.34
141,Nohar,IN,2022-01-24 00:13:25,29.1833,74.7667,49.8,87,2,5.06
142,Namibe,AO,2022-01-24 00:13:26,-15.1961,12.1522,74.95,86,82,5.57
143,Beyneu,KZ,2022-01-24 00:13:26,45.3167,55.2,27.28,85,100,15.37
144,Bratsk,RU,2022-01-24 00:13:27,56.1325,101.6142,-1.71,99,100,1.41
145,Port Lincoln,AU,2022-01-24 00:13:27,-34.7333,135.8667,71.76,85,70,6.85
146,Antofagasta,CL,2022-01-24 00:13:28,-23.65,-70.4,65.88,79,64,6.96
147,Lagoa,PT,2022-01-24 00:09:19,39.05,-27.9833,59.16,62,22,5.97
148,Igurusi,TZ,2022-01-24 00:13:28,-8.85,33.85,62.78,95,100,2.21
149,Ziro,IN,2022-01-24 00:13:29,27.6333,93.8333,34.83,95,100,2.1
150,Mahebourg,MU,2022-01-24 00:13:29,-20.4081,57.7,78.26,77,55,7.76
151,Mweka,CD,2022-01-24 00:13:30,-4.85,21.5667,67.69,95,99,0.36
152,Chichawatni,PK,2022-01-24 00:13:30,30.5333,72.7,47.23,91,5,3.98
153,Bethel,US,2022-01-24 00:11:37,41.3712,-73.414,33.04,77,100,5.75
154,Chokurdakh,RU,2022-01-24 00:13:31,70.6333,147.9167,-19.79,99,100,6.78
155,Austin,US,2022-01-24 00:10:04,30.2672,-97.7431,58.15,44,100,1.01
156,Badiraguato,MX,2022-01-24 00:13:32,25.3667,-107.5167,71.71,28,98,4.21
157,Port Blair,IN,2022-01-24 00:13:32,11.6667,92.75,69.84,100,40,1.14
158,Aquin,HT,2022-01-24 00:13:33,18.2833,-73.4,75.22,78,29,2.51
159,Juneau,US,2022-01-24 00:13:33,58.3019,-134.4197,41.22,96,75,0.0
160,Kodiak,US,2022-01-24 00:13:34,57.79,-152.4072,42.31,81,100,12.66
161,Umba,RU,2022-01-24 00:13:34,66.6871,34.3429,34.39,97,100,13.51
